sample_id,source_sample_id,true_label,dm,flux_density,width,arrival_time,sweep_contained,peak_sigma,peak_time_s
sample_000000,frb_00000,FRB,672.877424,8.787578,0.004104,0.432522,0,2.99,0.39223
sample_000001,frb_00001,FRB,807.235136,10.475578,0.003126,1.429507,0,2.84,0.02064
sample_000002,frb_00002,FRB,313.405758,7.444148,0.003696,1.186873,1,382.35,0.87884
sample_000003,frb_00003,FRB,350.896476,4.062607,0.004213,0.919498,1,114.32,0.70386
sample_000004,frb_00004,FRB,857.488566,9.822538,0.003105,0.6837,0,2.27,0.00786
sample_000005,frb_00005,FRB,121.724779,4.543955,0.004591,1.303049,1,162.94,1.18161
sample_000006,frb_00006,FRB,726.446019,6.640823,0.003341,1.072498,1,122.49,0.17891
sample_000007,frb_00007,FRB,484.497535,11.520569,0.004997,1.151232,1,392.55,0.67633
sample_000008,frb_00008,FRB,764.609074,5.869781,0.003876,0.694016,0,64.0,0.00786
sample_000009,frb_00009,FRB,831.750314,6.876745,0.004939,1.38242,0,2.64,0.07668
sample_000010,frb_00010,FRB,652.510276,4.864338,0.004509,0.580856,1,145.66,0.1101
sample_000011,frb_00011,FRB,372.774852,6.855735,0.004897,0.834004,1,232.93,0.46399
sample_000012,frb_00012,FRB,598.097882,9.51826,0.004548,1.270913,0,2.99,0.39125
sample_000013,frb_00013,FRB,529.652466,10.292256,0.004973,1.23081,0,3.44,0.41484
sample_000014,frb_00014,FRB,461.560321,9.851982,0.003442,0.58019,1,459.19,0.03342
sample_000015,frb_00015,FRB,226.321943,5.557614,0.003638,0.664824,1,319.95,0.45416
sample_000016,frb_00016,FRB,665.897631,11.750087,0.003303,1.598401,0,4.85,0.40305
sample_000017,frb_00017,FRB,648.356029,9.386572,0.004218,1.226761,0,4.05,0.1219
sample_000018,frb_00018,FRB,792.167025,10.988368,0.00394,1.201148,0,3.4,0.04424
sample_000019,frb_00019,FRB,208.669747,10.011875,0.00442,0.57315,1,364.98,0.36569
sample_000020,frb_00020,FRB,650.935065,11.522104,0.004897,0.488316,0,3.53,0.26542
sample_000021,frb_00021,FRB,552.292428,11.152631,0.004772,1.588211,0,2.96,0.53182
sample_000022,frb_00022,FRB,131.140644,9.541304,0.003761,1.602104,1,448.67,1.47653
sample_000023,frb_00023,FRB,843.764953,5.858008,0.003136,0.509036,0,2.42,0.04915
sample_000024,frb_00024,FRB,869.330781,7.859114,0.00461,1.184157,0,0.0,0.0
