sample_id,label,fits_path,seed,arrival_time,reference_frequency,flux_density,dm_index,width,dm,profile_type,rfi_types
frb_00000,FRB,dataset/fits/frb/frb_00000.fits,1373158607,0.432522,1260.420404,8.787578,-2.0,0.004104,672.877424,2,
frb_00001,FRB,dataset/fits/frb/frb_00001.fits,239081664,1.429507,1122.099792,10.475578,-2.0,0.003126,807.235136,2,
frb_00002,FRB,dataset/fits/frb/frb_00002.fits,53710185,1.186873,1212.197834,7.444148,-2.1,0.003696,313.405758,2,
frb_00003,FRB,dataset/fits/frb/frb_00003.fits,1592467582,0.919498,1299.558322,4.062607,-1.9,0.004213,350.896476,1,
frb_00004,FRB,dataset/fits/frb/frb_00004.fits,590620972,0.6837,1142.818621,9.822538,-2.0,0.003105,857.488566,2,
frb_00005,FRB,dataset/fits/frb/frb_00005.fits,525901257,1.303049,1208.093729,4.543955,-2.0,0.004591,121.724779,1,
frb_00006,FRB,dataset/fits/frb/frb_00006.fits,479341424,1.072498,1163.367092,6.640823,-2.1,0.003341,726.446019,2,
frb_00007,FRB,dataset/fits/frb/frb_00007.fits,299655413,1.151232,1212.123942,11.520569,-1.9,0.004997,484.497535,2,
frb_00008,FRB,dataset/fits/frb/frb_00008.fits,1581559893,0.694016,1226.214438,5.869781,-1.9,0.003876,764.609074,1,
frb_00009,FRB,dataset/fits/frb/frb_00009.fits,220106708,1.38242,1284.865506,6.876745,-1.9,0.004939,831.750314,1,
frb_00010,FRB,dataset/fits/frb/frb_00010.fits,1453201079,0.580856,1272.176325,4.864338,-1.9,0.004509,652.510276,2,
frb_00011,FRB,dataset/fits/frb/frb_00011.fits,1590571866,0.834004,1206.174368,6.855735,-1.9,0.004897,372.774852,1,
frb_00012,FRB,dataset/fits/frb/frb_00012.fits,1915941033,1.270913,1300.715034,9.51826,-1.9,0.004548,598.097882,2,
frb_00013,FRB,dataset/fits/frb/frb_00013.fits,1171165723,1.23081,1333.702094,10.292256,-1.9,0.004973,529.652466,2,
frb_00014,FRB,dataset/fits/frb/frb_00014.fits,186699714,0.58019,1166.651032,9.851982,-1.9,0.003442,461.560321,2,
frb_00015,FRB,dataset/fits/frb/frb_00015.fits,1268073013,0.664824,1221.566931,5.557614,-2.0,0.003638,226.321943,2,
frb_00016,FRB,dataset/fits/frb/frb_00016.fits,906070221,1.598401,1271.554918,11.750087,-2.1,0.003303,665.897631,2,
frb_00017,FRB,dataset/fits/frb/frb_00017.fits,68252794,1.226761,1204.085201,9.386572,-1.9,0.004218,648.356029,1,
frb_00018,FRB,dataset/fits/frb/frb_00018.fits,63989048,1.201148,1193.544051,10.988368,-1.9,0.00394,792.167025,2,
frb_00019,FRB,dataset/fits/frb/frb_00019.fits,201209006,0.57315,1208.971353,10.011875,-2.0,0.00442,208.669747,1,
frb_00020,FRB,dataset/fits/frb/frb_00020.fits,469521478,0.488316,1117.259936,11.522104,-1.9,0.004897,650.935065,2,
frb_00021,FRB,dataset/fits/frb/frb_00021.fits,499635469,1.588211,1272.079951,11.152631,-2.0,0.004772,552.292428,2,
frb_00022,FRB,dataset/fits/frb/frb_00022.fits,1085242217,1.602104,1217.748061,9.541304,-1.9,0.003761,131.140644,2,
frb_00023,FRB,dataset/fits/frb/frb_00023.fits,1292825379,0.509036,1366.516089,5.858008,-2.1,0.003136,843.764953,1,
frb_00024,FRB,dataset/fits/frb/frb_00024.fits,56985562,1.184157,1253.407936,7.859114,-2.1,0.00461,869.330781,1,
frb_00025,FRB,dataset/fits/frb/frb_00025.fits,1205264596,0.627696,1311.11514,11.71611,-2.1,0.003199,513.785415,2,
frb_00026,FRB,dataset/fits/frb/frb_00026.fits,427000597,1.549726,1206.46528,6.992782,-2.1,0.0045,204.658448,1,
frb_00027,FRB,dataset/fits/frb/frb_00027.fits,1537640409,1.339004,1229.218008,4.735012,-2.0,0.004855,322.689334,1,
frb_00028,FRB,dataset/fits/frb/frb_00028.fits,1395616197,0.924317,1217.252004,7.997301,-2.1,0.0045,855.567691,2,
frb_00029,FRB,dataset/fits/frb/frb_00029.fits,1506083911,0.626171,1334.168776,8.252481,-2.1,0.003029,679.133798,1,
frb_00030,FRB,dataset/fits/frb/frb_00030.fits,1170252924,0.607116,1211.231395,8.493454,-2.1,0.004746,135.925445,1,
frb_00031,FRB,dataset/fits/frb/frb_00031.fits,900911955,0.654473,1299.170816,5.517335,-2.0,0.003654,300.996933,2,
frb_00032,FRB,dataset/fits/frb/frb_00032.fits,473392625,1.28362,1391.554236,5.214615,-2.0,0.003653,561.170078,2,
frb_00033,FRB,dataset/fits/frb/frb_00033.fits,964669078,1.077178,1148.942332,5.012634,-1.9,0.004101,229.842886,1,
frb_00034,FRB,dataset/fits/frb/frb_00034.fits,1265438423,0.749619,1248.448175,5.292457,-2.1,0.004534,497.889481,2,
frb_00035,FRB,dataset/fits/frb/frb_00035.fits,597409993,0.431886,1381.069957,5.441148,-1.9,0.004234,755.368612,2,
frb_00036,FRB,dataset/fits/frb/frb_00036.fits,1738238662,1.054732,1161.001532,6.108497,-1.9,0.004392,579.066405,1,
frb_00037,FRB,dataset/fits/frb/frb_00037.fits,1866808230,0.725098,1133.803087,7.668908,-2.0,0.004589,873.533191,2,
frb_00038,FRB,dataset/fits/frb/frb_00038.fits,13955984,1.461536,1324.685484,9.082554,-1.9,0.00366,301.16988,1,
frb_00039,FRB,dataset/fits/frb/frb_00039.fits,1629526406,0.81957,1269.801431,10.96587,-2.0,0.004139,327.252292,2,
frb_00040,FRB,dataset/fits/frb/frb_00040.fits,1730483679,1.486873,1101.828363,11.369479,-2.1,0.003184,279.130765,1,
frb_00041,FRB,dataset/fits/frb/frb_00041.fits,342865763,1.593593,1265.693362,9.132415,-2.1,0.003872,727.599862,1,
frb_00042,FRB,dataset/fits/frb/frb_00042.fits,1499242942,1.355564,1147.968071,7.410631,-2.0,0.003787,865.587744,1,
frb_00043,FRB,dataset/fits/frb/frb_00043.fits,907557513,1.517509,1396.073782,4.149388,-2.0,0.004322,570.974873,1,
frb_00044,FRB,dataset/fits/frb/frb_00044.fits,730682428,0.867713,1318.560413,9.746803,-2.0,0.003802,544.727629,2,
frb_00045,FRB,dataset/fits/frb/frb_00045.fits,596724165,0.87462,1295.311029,9.548643,-2.0,0.004192,381.446271,1,
frb_00046,FRB,dataset/fits/frb/frb_00046.fits,333889689,1.069507,1174.267914,7.5138,-2.1,0.004383,708.405708,1,
frb_00047,FRB,dataset/fits/frb/frb_00047.fits,462382782,1.399968,1199.207011,7.876799,-2.0,0.003711,238.12059,2,
frb_00048,FRB,dataset/fits/frb/frb_00048.fits,2055599410,1.504651,1204.283888,5.850445,-2.0,0.003074,155.859815,1,
frb_00049,FRB,dataset/fits/frb/frb_00049.fits,1639591160,0.381912,1322.577919,11.861886,-1.9,0.004855,866.408585,2,
frb_00050,FRB,dataset/fits/frb/frb_00050.fits,722831293,1.638805,1259.827719,10.947347,-2.1,0.003576,681.86147,1,
frb_00051,FRB,dataset/fits/frb/frb_00051.fits,219494903,1.300385,1242.687747,11.211465,-2.1,0.003429,415.462683,1,
frb_00052,FRB,dataset/fits/frb/frb_00052.fits,199170185,1.61828,1283.667691,9.601258,-2.1,0.003325,641.699907,2,
frb_00053,FRB,dataset/fits/frb/frb_00053.fits,815887679,0.896434,1341.8454,10.188252,-2.0,0.003249,125.485198,1,
frb_00054,FRB,dataset/fits/frb/frb_00054.fits,207696844,0.824163,1113.31873,5.832211,-1.9,0.004114,754.452945,1,
frb_00055,FRB,dataset/fits/frb/frb_00055.fits,770902344,0.533653,1301.857176,4.889903,-2.1,0.003763,661.022416,2,
frb_00056,FRB,dataset/fits/frb/frb_00056.fits,1819980298,0.586744,1190.588173,7.636131,-2.1,0.003574,896.531742,1,
frb_00057,FRB,dataset/fits/frb/frb_00057.fits,738639289,1.604335,1349.213993,11.98483,-1.9,0.003933,353.771773,2,
frb_00058,FRB,dataset/fits/frb/frb_00058.fits,1296491778,0.982625,1246.720182,8.598901,-1.9,0.00317,586.428851,2,
frb_00059,FRB,dataset/fits/frb/frb_00059.fits,568054228,1.341018,1261.883004,5.786689,-2.1,0.004114,268.427953,2,
frb_00060,FRB,dataset/fits/frb/frb_00060.fits,1733294784,0.627606,1199.917355,9.566089,-2.1,0.004485,529.801476,2,
