burst_id,source,file,mjd,dms,toa
1,FRB20121102,FRB20121102_0001.fits,58724.87854,567.3,3.092631209
2,FRB20121102,FRB20121102_0002.fits,58724.88611,565.1,3.30737934
3,FRB20121102,FRB20121102_0003.fits,58724.88735,565.8,1.073093782
4,FRB20121102,FRB20121102_0004.fits,58724.88856,567.6,4.121581069
5,FRB20121102,FRB20121102_0005.fits,58724.89207,565.8,1.266164426
6,FRB20121102,FRB20121102_0006.fits,58724.93422,564.1,4.191827495
7,FRB20121102,FRB20121102_0007.fits,58724.94346,568.1,3.023686702
8,FRB20121102,FRB20121102_0008.fits,58724.95711,568,3.537135688
9,FRB20121102,FRB20121102_0009.fits,58724.97736,564,4.454327328
10,FRB20121102,FRB20121102_0010.fits,58725.87687,567.1,1.240860298
11,FRB20121102,FRB20121102_0011.fits,58725.87709,562.3,0.601990172
12,FRB20121102,FRB20121102_0012.fits,58725.88266,565.9,0.27080609
13,FRB20121102,FRB20121102_0013.fits,58725.88652,566,2.062369999
14,FRB20121102,FRB20121102_0014.fits,58725.89031,564.5,2.001892682
15,FRB20121102,FRB20121102_0015.fits,58725.8916,566.1,3.298848658
16,FRB20121102,FRB20121102_0016.fits,58725.89406,564.5,4.304861859
17,FRB20121102,FRB20121102_0017.fits,58725.89784,559.7,0.431372761
18,FRB20121102,FRB20121102_0018.fits,58725.89964,568.5,3.315300867
19,FRB20121102,FRB20121102_0019.fits,58725.9016,566.7,4.421417252
20,FRB20121102,FRB20121102_0020.fits,58725.91642,568.5,2.962085372
21,FRB20121102,FRB20121102_0021.fits,58725.91723,566,2.324996819
22,FRB20121102,FRB20121102_0022.fits,58725.91852,566,3.536289535
23,FRB20121102,FRB20121102_0023.fits,58725.91978,566,1.726721297
24,FRB20121102,FRB20121102_0024.fits,58725.92114,566.3,3.374373796
25,FRB20121102,FRB20121102_0025.fits,58725.93073,563.2,2.073889249
26,FRB20121102,FRB20121102_0026.fits,58725.93219,567.6,1.395423431
27,FRB20121102,FRB20121102_0027.fits,58725.93325,566,4.03783517
28,FRB20121102,FRB20121102_0028.fits,58725.93382,569.4,0.881141494
29,FRB20121102,FRB20121102_0029.fits,58725.94137,569.4,0.598989031
30,FRB20121102,FRB20121102_0030.fits,58725.94177,566,3.996482422
31,FRB20121102,FRB20121102_0031.fits,58725.94311,566,3.029052797
32,FRB20121102,FRB20121102_0032.fits,58725.95486,565.7,4.568999307
33,FRB20121102,FRB20121102_0033.fits,58725.95629,554.5,1.033996604
34,FRB20121102,FRB20121102_0034.fits,58725.95747,567,0.075995992
35,FRB20121102,FRB20121102_0035.fits,58725.95918,569,1.183143351
36,FRB20121102,FRB20121102_0036.fits,58725.96264,570,1.601885422
37,FRB20121102,FRB20121102_0037.fits,58725.96519,565.9,4.23819304
38,FRB20121102,FRB20121102_0038.fits,58725.96737,564.6,2.396419435
39,FRB20121102,FRB20121102_0039.fits,58725.97439,566,0.310313771
40,FRB20121102,FRB20121102_0040.fits,58725.97872,566,1.633471576
41,FRB20121102,FRB20121102_0041.fits,58725.98233,567.9,2.810202143
42,FRB20121102,FRB20121102_0042.fits,58725.98934,566,2.157887234
43,FRB20121102,FRB20121102_0043.fits,58725.99312,563.7,0.848496077
44,FRB20121102,FRB20121102_0044.fits,58725.99346,566,2.791710617
45,FRB20121102,FRB20121102_0045.fits,58725.9954,563,2.119072317
46,FRB20121102,FRB20121102_0046.fits,58725.99917,570,0.838889158
47,FRB20121102,FRB20121102_0047.fits,58726.91928,564.6,3.388895444
48,FRB20121102,FRB20121102_0048.fits,58726.92236,568.9,4.175517987
49,FRB20121102,FRB20121102_0049.fits,58726.92487,566.3,0.613427698
50,FRB20121102,FRB20121102_0050.fits,58726.9285,550.6,2.614509431
51,FRB20121102,FRB20121102_0051.fits,58726.92881,564.5,3.443181259
52,FRB20121102,FRB20121102_0052.fits,58726.9379,566,1.490893518
53,FRB20121102,FRB20121102_0053.fits,58726.95049,565.6,0.727997837
54,FRB20121102,FRB20121102_0054.fits,58726.96659,566.2,0.583997788
55,FRB20121102,FRB20121102_0055.fits,58726.96912,567.9,0.07900279
56,FRB20121102,FRB20121102_0056.fits,58726.99691,568.5,4.203012306
57,FRB20121102,FRB20121102_0057.fits,58727.00096,566,3.051793948
58,FRB20121102,FRB20121102_0058.fits,58727.0022,566,3.317895904
59,FRB20121102,FRB20121102_0059.fits,58727.00481,566,4.440196068
60,FRB20121102,FRB20121102_0060.fits,58727.00599,569.4,0.980083575
61,FRB20121102,FRB20121102_0061.fits,58727.01297,568.5,0.204998511
62,FRB20121102,FRB20121102_0062.fits,58727.01499,566,1.160649885
63,FRB20121102,FRB20121102_0063.fits,58727.02758,565.7,0.03600237
64,FRB20121102,FRB20121102_0064.fits,58727.02776,566,0.655068993
65,FRB20121102,FRB20121102_0065.fits,58727.03038,566,2.852893271
66,FRB20121102,FRB20121102_0066.fits,58727.04499,566,2.912597987
67,FRB20121102,FRB20121102_0067.fits,58727.07875,563.2,1.920995791
68,FRB20121102,FRB20121102_0068.fits,58727.08863,564.5,0.865454343
69,FRB20121102,FRB20121102_0069.fits,58727.09309,565.8,1.972047868
70,FRB20121102,FRB20121102_0070.fits,58727.09783,567.6,0.5870027
71,FRB20121102,FRB20121102_0071.fits,58727.90448,566,1.813925989
72,FRB20121102,FRB20121102_0072.fits,58727.90725,565,1.797889941
73,FRB20121102,FRB20121102_0073.fits,58727.91222,567.2,0.377704273
74,FRB20121102,FRB20121102_0074.fits,58727.91595,567.2,0.289598107
75,FRB20121102,FRB20121102_0075.fits,58727.91643,563.8,2.860672097
76,FRB20121102,FRB20121102_0076.fits,58727.92247,566,2.865897375
77,FRB20121102,FRB20121102_0077.fits,58727.92665,561,3.339549503
78,FRB20121102,FRB20121102_0078.fits,58727.92923,562.8,1.320212614
79,FRB20121102,FRB20121102_0079.fits,58727.93887,566,2.691889065
80,FRB20121102,FRB20121102_0080.fits,58727.95445,564.5,0.219112169
81,FRB20121102,FRB20121102_0081.fits,58727.96338,569,1.185995503
82,FRB20121102,FRB20121102_0082.fits,58727.96344,567.6,0.107199932
83,FRB20121102,FRB20121102_0083.fits,58727.96464,566,1.60530461
84,FRB20121102,FRB20121102_0084.fits,58727.96551,552.4,2.685795003
85,FRB20121102,FRB20121102_0085.fits,58727.96581,566,1.453432697
86,FRB20121102,FRB20121102_0086.fits,58727.97233,565.5,0.924006128
87,FRB20121102,FRB20121102_0087.fits,58727.9903,565.5,2.552482509
88,FRB20121102,FRB20121102_0088.fits,58727.99761,566.7,1.213895925
89,FRB20121102,FRB20121102_0089.fits,58728.00055,565.6,3.655600268
90,FRB20121102,FRB20121102_0090.fits,58728.00314,566.1,2.227875916
91,FRB20121102,FRB20121102_0091.fits,58728.00754,562.6,2.300000098
92,FRB20121102,FRB20121102_0092.fits,58728.01335,566.6,2.105552726
93,FRB20121102,FRB20121102_0093.fits,58728.0153,569,0.121417316
94,FRB20121102,FRB20121102_0094.fits,58728.02164,565.1,3.497188585
95,FRB20121102,FRB20121102_0095.fits,58728.02393,563.7,0.432191882
96,FRB20121102,FRB20121102_0096.fits,58728.02758,558.9,0.484383688
97,FRB20121102,FRB20121102_0097.fits,58728.05305,566,3.257403499
98,FRB20121102,FRB20121102_0098.fits,58728.05797,570,2.581466711
99,FRB20121102,FRB20121102_0099.fits,58728.06978,566,4.16373848
100,FRB20121102,FRB20121102_0100.fits,58728.0784,567,3.483687853
101,FRB20121102,FRB20121102_0101.fits,58728.9873,564.3,2.286745794
102,FRB20121102,FRB20121102_0102.fits,58728.98807,567.2,3.297939012
103,FRB20121102,FRB20121102_0103.fits,58728.99441,566,4.615555331
104,FRB20121102,FRB20121102_0104.fits,58729.00529,568.3,4.404717986
105,FRB20121102,FRB20121102_0105.fits,58729.00875,569,0.521179405
106,FRB20121102,FRB20121102_0106.fits,58729.01504,568,2.341655851
107,FRB20121102,FRB20121102_0107.fits,58729.01709,564.6,0.293671084
108,FRB20121102,FRB20121102_0108.fits,58729.01773,564.7,1.931456407
109,FRB20121102,FRB20121102_0109.fits,58729.01895,563.1,4.480905714
110,FRB20121102,FRB20121102_0110.fits,58729.02411,565.4,1.211280143
111,FRB20121102,FRB20121102_0111.fits,58729.02757,565.1,0.147302309
112,FRB20121102,FRB20121102_0112.fits,58729.04499,566.6,0.50302546
113,FRB20121102,FRB20121102_0113.fits,58729.04788,563.5,2.511320869
114,FRB20121102,FRB20121102_0114.fits,58729.05099,563.8,3.726623696
115,FRB20121102,FRB20121102_0115.fits,58729.05547,568.4,1.622641948
116,FRB20121102,FRB20121102_0116.fits,58729.05625,561.5,3.018851182
117,FRB20121102,FRB20121102_0117.fits,58729.06399,569.4,2.934917319
118,FRB20121102,FRB20121102_0118.fits,58729.06962,569.5,3.099543764
119,FRB20121102,FRB20121102_0119.fits,58729.07313,564.9,3.073358908
120,FRB20121102,FRB20121102_0120.fits,58730.87174,568.1,3.43821561
121,FRB20121102,FRB20121102_0121.fits,58730.87389,567,1.223838539
122,FRB20121102,FRB20121102_0122.fits,58730.88066,569.5,2.272080816
123,FRB20121102,FRB20121102_0123.fits,58730.88138,568.1,1.658508531
124,FRB20121102,FRB20121102_0124.fits,58730.89133,568.9,1.067320956
125,FRB20121102,FRB20121102_0125.fits,58730.89494,566.9,0.560771325
126,FRB20121102,FRB20121102_0126.fits,58730.90088,566.2,0.653965096
127,FRB20121102,FRB20121102_0127.fits,58730.90254,567,1.587731531
128,FRB20121102,FRB20121102_0128.fits,58730.90794,563.6,4.141932749
129,FRB20121102,FRB20121102_0129.fits,58730.90824,566.9,1.950536971
130,FRB20121102,FRB20121102_0130.fits,58732.86897,562.8,1.130607678
131,FRB20121102,FRB20121102_0131.fits,58732.86913,566,2.236686973
132,FRB20121102,FRB20121102_0132.fits,58732.87069,566,2.18156192
133,FRB20121102,FRB20121102_0133.fits,58732.87629,566,0.708675245
134,FRB20121102,FRB20121102_0134.fits,58732.87858,563.7,2.388563287
135,FRB20121102,FRB20121102_0135.fits,58732.87899,569.4,1.68778568
136,FRB20121102,FRB20121102_0136.fits,58732.95252,565.9,1.017576456
137,FRB20121102,FRB20121102_0137.fits,58732.95445,566.7,0.067168591
138,FRB20121102,FRB20121102_0138.fits,58732.95454,564.1,0.684766704
139,FRB20121102,FRB20121102_0139.fits,58732.95642,566,2.980132448
140,FRB20121102,FRB20121102_0140.fits,58732.95955,567.2,2.557188529
141,FRB20121102,FRB20121102_0141.fits,58732.96024,568.4,3.813142539
142,FRB20121102,FRB20121102_0142.fits,58732.96094,565.4,0.533273234
143,FRB20121102,FRB20121102_0143.fits,58732.96289,565.4,0.090266182
144,FRB20121102,FRB20121102_0144.fits,58732.96307,566,3.924652445
145,FRB20121102,FRB20121102_0145.fits,58732.96488,567.6,3.188575921
146,FRB20121102,FRB20121102_0146.fits,58732.96787,566,3.021921474
147,FRB20121102,FRB20121102_0147.fits,58732.97291,566,4.021127732
148,FRB20121102,FRB20121102_0148.fits,58732.97332,566,0.346421753
149,FRB20121102,FRB20121102_0149.fits,58732.97457,566,1.099344017
150,FRB20121102,FRB20121102_0150.fits,58732.97579,566,1.282886323
151,FRB20121102,FRB20121102_0151.fits,58732.97662,565,2.60858133
152,FRB20121102,FRB20121102_0152.fits,58732.9778,567.2,0.87936495
153,FRB20121102,FRB20121102_0153.fits,58732.98015,567.3,4.21072701
154,FRB20121102,FRB20121102_0154.fits,58732.98228,566,1.432302129
155,FRB20121102,FRB20121102_0155.fits,58732.98597,567.2,4.159556748
156,FRB20121102,FRB20121102_0156.fits,58732.98676,559.7,0.967953913
157,FRB20121102,FRB20121102_0157.fits,58732.99216,565.4,0.642246567
158,FRB20121102,FRB20121102_0158.fits,58733.90535,564.5,0.417424436
159,FRB20121102,FRB20121102_0159.fits,58733.91748,565.9,4.326781374
160,FRB20121102,FRB20121102_0160.fits,58733.91863,566.1,3.66701202
161,FRB20121102,FRB20121102_0161.fits,58733.91888,567.9,0.051092939
162,FRB20121102,FRB20121102_0162.fits,58733.9196,565.5,3.324895212
163,FRB20121102,FRB20121102_0163.fits,58733.92266,562.6,2.931374288
164,FRB20121102,FRB20121102_0164.fits,58733.92328,564.2,0.449192268
165,FRB20121102,FRB20121102_0165.fits,58733.93118,566,3.230410838
166,FRB20121102,FRB20121102_0166.fits,58733.93129,565.6,0.059731118
167,FRB20121102,FRB20121102_0167.fits,58735.01936,564.4,3.149255575
168,FRB20121102,FRB20121102_0168.fits,58735.02506,568.4,4.495025659
169,FRB20121102,FRB20121102_0169.fits,58735.02664,566.7,0.979065802
170,FRB20121102,FRB20121102_0170.fits,58735.02708,563.9,0.434355042
171,FRB20121102,FRB20121102_0171.fits,58735.02847,566.1,0.625695661
172,FRB20121102,FRB20121102_0172.fits,58735.02905,562.8,2.620636183
173,FRB20121102,FRB20121102_0173.fits,58735.03189,562.6,3.527501738
174,FRB20121102,FRB20121102_0174.fits,58735.03226,567.6,3.072592593
175,FRB20121102,FRB20121102_0175.fits,58735.03724,567.4,2.161032334
176,FRB20121102,FRB20121102_0176.fits,58735.04018,566.5,4.042789503
177,FRB20121102,FRB20121102_0177.fits,58735.04044,568.3,2.059617802
178,FRB20121102,FRB20121102_0178.fits,58735.04418,563,4.630334722
179,FRB20121102,FRB20121102_0179.fits,58735.04609,565,3.209927143
180,FRB20121102,FRB20121102_0180.fits,58736.96933,569.5,2.44876463
181,FRB20121102,FRB20121102_0181.fits,58736.97519,566.5,0.955746928
182,FRB20121102,FRB20121102_0182.fits,58736.98077,564.3,4.441112629
183,FRB20121102,FRB20121102_0183.fits,58736.98171,567.2,1.664609509
184,FRB20121102,FRB20121102_0184.fits,58736.98369,566.7,0.631703599
185,FRB20121102,FRB20121102_0185.fits,58736.98414,566.7,3.071589908
186,FRB20121102,FRB20121102_0186.fits,58736.98545,567.7,1.676093554
187,FRB20121102,FRB20121102_0187.fits,58736.98872,569.8,0.944222021
188,FRB20121102,FRB20121102_0188.fits,58736.99189,563.6,3.848625021
189,FRB20121102,FRB20121102_0189.fits,58736.99276,563.5,0.379929668
190,FRB20121102,FRB20121102_0190.fits,58738.95916,566,3.962584119
191,FRB20121102,FRB20121102_0191.fits,58738.95977,559.7,1.936538354
192,FRB20121102,FRB20121102_0192.fits,58738.96299,565.8,0.253899372
193,FRB20121102,FRB20121102_0193.fits,58738.9633,565.8,1.100115362
194,FRB20121102,FRB20121102_0194.fits,58738.96705,567.1,1.559606055
195,FRB20121102,FRB20121102_0195.fits,58738.96839,565.1,1.033504377
196,FRB20121102,FRB20121102_0196.fits,58738.97039,568.5,4.243857111
197,FRB20121102,FRB20121102_0197.fits,58738.97397,564.8,4.416215234
198,FRB20121102,FRB20121102_0198.fits,58738.97587,564.9,2.525091288
199,FRB20121102,FRB20121102_0199.fits,58738.97631,563.8,2.596356743
200,FRB20121102,FRB20121102_0200.fits,58738.97705,566.1,0.743219792
201,FRB20121102,FRB20121102_0201.fits,58738.97743,565.5,0.526998751
202,FRB20121102,FRB20121102_0202.fits,58738.97832,566.4,0.17425851
203,FRB20121102,FRB20121102_0203.fits,58738.98097,567.9,3.551893705
204,FRB20121102,FRB20121102_0204.fits,58738.98683,565.2,1.08399759
205,FRB20121102,FRB20121102_0205.fits,58738.98779,565.5,1.700158627
206,FRB20121102,FRB20121102_0206.fits,58738.98873,566.4,3.880925942
207,FRB20121102,FRB20121102_0207.fits,58738.9894,566.8,3.207540186
208,FRB20121102,FRB20121102_0208.fits,58738.98983,569.3,0.534209912
209,FRB20121102,FRB20121102_0209.fits,58738.99104,568.3,0.10974342
210,FRB20121102,FRB20121102_0210.fits,58738.99463,566.7,1.565098506
211,FRB20121102,FRB20121102_0211.fits,58741.87806,565.7,0.142820715
212,FRB20121102,FRB20121102_0212.fits,58741.89568,566.1,4.204475158
213,FRB20121102,FRB20121102_0213.fits,58742.89156,565.6,0.932870619
214,FRB20121102,FRB20121102_0214.fits,58742.90261,564.5,1.068983716
215,FRB20121102,FRB20121102_0215.fits,58743.92424,562.8,3.324832348
216,FRB20121102,FRB20121102_0216.fits,58743.92496,566.5,0.727329589
217,FRB20121102,FRB20121102_0217.fits,58743.93975,566.6,1.47582558
218,FRB20121102,FRB20121102_0218.fits,58743.94178,564.1,1.959414664
219,FRB20121102,FRB20121102_0219.fits,58744.87408,566,3.365907236
220,FRB20121102,FRB20121102_0220.fits,58744.88331,566,2.700979239
221,FRB20121102,FRB20121102_0221.fits,58744.89518,566,0.687153032
222,FRB20121102,FRB20121102_0222.fits,58744.90143,566.3,1.590943267
223,FRB20121102,FRB20121102_0223.fits,58745.92981,567.7,0.535747572
224,FRB20121102,FRB20121102_0224.fits,58745.9322,566.4,0.916197756
225,FRB20121102,FRB20121102_0225.fits,58745.93348,566.7,1.896592509
226,FRB20121102,FRB20121102_0226.fits,58745.93655,566,2.763336198
227,FRB20121102,FRB20121102_0227.fits,58745.93936,569,4.402764165
228,FRB20121102,FRB20121102_0228.fits,58745.94069,566.2,1.392104197
229,FRB20121102,FRB20121102_0229.fits,58745.94291,568.2,2.718755999
230,FRB20121102,FRB20121102_0230.fits,58745.9443,563.4,4.397405614
231,FRB20121102,FRB20121102_0231.fits,58745.94616,567.2,2.99398019
232,FRB20121102,FRB20121102_0232.fits,58745.94655,566.9,4.4542016
233,FRB20121102,FRB20121102_0233.fits,58745.94663,566.2,1.931147114
234,FRB20121102,FRB20121102_0234.fits,58745.94954,564.9,3.939460753
235,FRB20121102,FRB20121102_0235.fits,58745.95019,565.3,2.479749802
236,FRB20121102,FRB20121102_0236.fits,58745.95897,567.5,1.206418849
237,FRB20121102,FRB20121102_0237.fits,58745.95981,566,4.246357852
238,FRB20121102,FRB20121102_0238.fits,58745.96112,565.3,2.471579961
239,FRB20121102,FRB20121102_0239.fits,58745.96425,565,1.861203066
240,FRB20121102,FRB20121102_0240.fits,58746.86301,568.7,4.169872147
241,FRB20121102,FRB20121102_0241.fits,58746.86845,567,2.781108557
242,FRB20121102,FRB20121102_0242.fits,58746.86868,567,2.830991358
243,FRB20121102,FRB20121102_0243.fits,58746.86883,568,2.696024906
244,FRB20121102,FRB20121102_0244.fits,58746.86912,565.5,2.536079963
245,FRB20121102,FRB20121102_0245.fits,58746.87112,568.2,1.251623919
246,FRB20121102,FRB20121102_0246.fits,58746.87308,567.2,1.286368375
247,FRB20121102,FRB20121102_0247.fits,58746.87563,565.4,3.295821114
248,FRB20121102,FRB20121102_0248.fits,58746.8803,565.9,2.899830882
249,FRB20121102,FRB20121102_0249.fits,58746.88187,562.9,2.983647189
250,FRB20121102,FRB20121102_0250.fits,58746.88253,567.8,1.631276356
251,FRB20121102,FRB20121102_0251.fits,58746.88459,566.5,0.793628138
252,FRB20121102,FRB20121102_0252.fits,58746.88753,566.7,2.294725156
253,FRB20121102,FRB20121102_0253.fits,58746.89189,563.6,1.113333204
254,FRB20121102,FRB20121102_0254.fits,58746.89201,566.3,1.720256335
255,FRB20121102,FRB20121102_0255.fits,58746.89301,567.2,4.520582501
256,FRB20121102,FRB20121102_0256.fits,58746.89335,564.7,0.712201302
257,FRB20121102,FRB20121102_0257.fits,58746.90142,565.3,1.771730231
258,FRB20121102,FRB20121102_0258.fits,58747.84332,566,4.159975424
259,FRB20121102,FRB20121102_0259.fits,58747.84516,564.9,3.080488346
260,FRB20121102,FRB20121102_0260.fits,58747.84727,570,4.250877164
261,FRB20121102,FRB20121102_0261.fits,58747.85053,565,3.141501895
262,FRB20121102,FRB20121102_0262.fits,58747.8546,565.4,0.877441303
263,FRB20121102,FRB20121102_0263.fits,58747.85953,565.4,1.083375863
264,FRB20121102,FRB20121102_0264.fits,58747.86092,565.8,2.830698411
265,FRB20121102,FRB20121102_0265.fits,58747.86347,565.6,2.645551809
266,FRB20121102,FRB20121102_0266.fits,58747.86446,564.8,2.037314186
267,FRB20121102,FRB20121102_0267.fits,58747.86549,566.7,0.594511209
268,FRB20121102,FRB20121102_0268.fits,58748.91088,566,3.360104235
269,FRB20121102,FRB20121102_0269.fits,58748.92432,565.3,2.403953718
270,FRB20121102,FRB20121102_0270.fits,58748.9253,567.2,1.750149555
271,FRB20121102,FRB20121102_0271.fits,58748.92897,564.9,3.843371454
272,FRB20121102,FRB20121102_0272.fits,58748.92918,566.3,2.910996205
273,FRB20121102,FRB20121102_0273.fits,58748.93031,569.4,3.189256112
274,FRB20121102,FRB20121102_0274.fits,58748.9365,566.2,4.11847746
275,FRB20121102,FRB20121102_0275.fits,58748.93712,566,0.555043761
276,FRB20121102,FRB20121102_0276.fits,58748.93759,563.7,1.32488783
277,FRB20121102,FRB20121102_0277.fits,58748.93845,566,2.837726008
278,FRB20121102,FRB20121102_0278.fits,58748.94455,564.5,1.93183925
279,FRB20121102,FRB20121102_0279.fits,58748.94545,566,1.907117874
280,FRB20121102,FRB20121102_0280.fits,58748.94606,568.5,0.834244117
281,FRB20121102,FRB20121102_0281.fits,58748.94625,565.4,1.854751934
282,FRB20121102,FRB20121102_0282.fits,58748.94753,566,3.175735264
283,FRB20121102,FRB20121102_0283.fits,58748.94797,565.4,2.597051393
284,FRB20121102,FRB20121102_0284.fits,58748.94849,567.6,2.573212632
285,FRB20121102,FRB20121102_0285.fits,58748.94952,566,1.286914037
286,FRB20121102,FRB20121102_0286.fits,58749.86128,567.9,2.19852333
287,FRB20121102,FRB20121102_0287.fits,58749.86284,566.9,0.381753989
