sample_id,source_sample_id,true_label,source,dm,peak_sigma,peak_time_s,peak_sigma_matched,peak_time_matched_s
sample_000000,FRB20121102_0001,FRB,FRB20121102,567.3,2.86,0.3519,2.86,0.3519
sample_000001,FRB20121102_0002,FRB,FRB20121102,565.1,129.33,0.3559,129.33,0.3559
sample_000002,FRB20121102_0003,FRB,FRB20121102,565.8,6.03,0.3421,6.03,0.3421
sample_000003,FRB20121102_0004,FRB,FRB20121102,567.6,10.54,0.3539,10.54,0.3539
sample_000004,FRB20121102_0005,FRB,FRB20121102,565.8,4.36,0.3559,4.36,0.3559
sample_000005,FRB20121102_0006,FRB,FRB20121102,564.1,17.92,0.3588,17.92,0.3588
sample_000006,FRB20121102_0007,FRB,FRB20121102,568.1,17.41,0.35,17.41,0.35
sample_000007,FRB20121102_0008,FRB,FRB20121102,568.0,12.68,0.3519,12.68,0.3519
sample_000008,FRB20121102_0009,FRB,FRB20121102,564.0,6.56,0.4296,6.56,0.4296
sample_000009,FRB20121102_0010,FRB,FRB20121102,567.1,13.1,0.3539,13.1,0.3539
sample_000010,FRB20121102_0011,FRB,FRB20121102,562.3,6.16,0.3637,6.16,0.3637
sample_000011,FRB20121102_0012,FRB,FRB20121102,565.9,5.64,0.2713,5.64,0.2713
sample_000012,FRB20121102_0013,FRB,FRB20121102,566.0,6.91,0.3539,6.91,0.3539
sample_000013,FRB20121102_0014,FRB,FRB20121102,564.5,13.27,0.3578,13.27,0.3578
sample_000014,FRB20121102_0015,FRB,FRB20121102,566.1,10.66,0.3559,10.66,0.3559
sample_000015,FRB20121102_0016,FRB,FRB20121102,564.5,12.68,0.3598,12.68,0.3598
sample_000016,FRB20121102_0017,FRB,FRB20121102,559.7,7.2,0.3657,7.2,0.3657
sample_000017,FRB20121102_0018,FRB,FRB20121102,568.5,7.55,0.35,7.55,0.35
sample_000018,FRB20121102_0019,FRB,FRB20121102,566.7,6.98,0.3952,6.98,0.3952
sample_000019,FRB20121102_0020,FRB,FRB20121102,568.5,9.24,0.3539,9.24,0.3539
sample_000020,FRB20121102_0021,FRB,FRB20121102,566.0,2.92,0.3549,2.92,0.3549
sample_000021,FRB20121102_0022,FRB,FRB20121102,566.0,6.66,0.3539,6.66,0.3539
sample_000022,FRB20121102_0023,FRB,FRB20121102,566.0,4.84,0.81,4.84,0.81
sample_000023,FRB20121102_0024,FRB,FRB20121102,566.3,9.7,0.3559,9.7,0.3559
sample_000024,FRB20121102_0025,FRB,FRB20121102,563.2,5.59,0.3618,5.59,0.3618
sample_000025,FRB20121102_0026,FRB,FRB20121102,567.6,7.21,0.3519,7.21,0.3519
sample_000026,FRB20121102_0027,FRB,FRB20121102,566.0,6.25,0.3568,6.25,0.3568
sample_000027,FRB20121102_0028,FRB,FRB20121102,569.4,6.98,0.348,6.98,0.348
sample_000028,FRB20121102_0029,FRB,FRB20121102,569.4,8.5,0.348,8.5,0.348
sample_000029,FRB20121102_0030,FRB,FRB20121102,566.0,5.08,0.3529,5.08,0.3529
sample_000030,FRB20121102_0031,FRB,FRB20121102,566.0,10.23,0.3559,10.23,0.3559
sample_000031,FRB20121102_0032,FRB,FRB20121102,565.7,19.74,0.5426,19.74,0.5426
sample_000032,FRB20121102_0033,FRB,FRB20121102,554.5,9.44,0.3696,9.44,0.3696
sample_000033,FRB20121102_0034,FRB,FRB20121102,567.0,12.2,0.0767,12.2,0.0767
sample_000034,FRB20121102_0035,FRB,FRB20121102,569.0,12.91,0.3519,12.91,0.3519
sample_000035,FRB20121102_0036,FRB,FRB20121102,570.0,14.15,0.346,14.15,0.346
sample_000036,FRB20121102_0037,FRB,FRB20121102,565.9,27.53,0.3559,27.53,0.3559
sample_000037,FRB20121102_0038,FRB,FRB20121102,564.6,44.35,0.3578,44.35,0.3578
sample_000038,FRB20121102_0039,FRB,FRB20121102,566.0,7.8,0.3106,7.8,0.3106
sample_000039,FRB20121102_0040,FRB,FRB20121102,566.0,6.78,0.3559,6.78,0.3559
sample_000040,FRB20121102_0041,FRB,FRB20121102,567.9,12.21,0.3519,12.21,0.3519
sample_000041,FRB20121102_0042,FRB,FRB20121102,566.0,5.42,0.3559,5.42,0.3559
sample_000042,FRB20121102_0043,FRB,FRB20121102,563.7,2.24,0.3608,2.24,0.3608
sample_000043,FRB20121102_0044,FRB,FRB20121102,566.0,7.21,0.3568,7.21,0.3568
sample_000044,FRB20121102_0045,FRB,FRB20121102,563.0,6.1,0.3598,6.1,0.3598
sample_000045,FRB20121102_0046,FRB,FRB20121102,570.0,13.93,0.348,13.93,0.348
sample_000046,FRB20121102_0047,FRB,FRB20121102,564.6,19.37,0.3578,19.37,0.3578
sample_000047,FRB20121102_0048,FRB,FRB20121102,568.9,4.39,0.4355,4.39,0.4355
sample_000048,FRB20121102_0049,FRB,FRB20121102,566.3,8.09,0.3539,8.09,0.3539
sample_000049,FRB20121102_0050,FRB,FRB20121102,550.6,3.08,0.9526,3.08,0.9526
sample_000050,FRB20121102_0051,FRB,FRB20121102,564.5,9.04,0.3598,9.04,0.3598
