metric,class,vlm,external,delta_vlm_minus_external
accuracy,,0.9005,0.9285,-0.028000000000000025
macro_f1,,0.8999142733059549,0.9281325958632016,-0.028218322557246767
weighted_f1,,0.8999142733059547,0.9281325958632017,-0.02821832255724699
precision,FRB,0.9728453364817001,0.8748906386701663,0.09795469781153388
recall,FRB,0.824,1.0,-0.17600000000000005
f1_score,FRB,0.8922577152138603,0.9332711152589828,-0.04101340004512244
precision,NON_FRB,0.8473547267996531,1.0,-0.15264527320034693
recall,NON_FRB,0.977,0.857,0.12
f1_score,NON_FRB,0.9075708313980493,0.9229940764674206,-0.015423245069371316
binary_roc_auc,,0.9248335,1.0,-0.07516650000000002
binary_average_precision,,0.8990791446153326,1.0,-0.10092085538466744
binary_brier_score,,0.09078049999999997,0.054578651630589024,0.03620184836941095
binary_log_loss,,0.3265342652744912,0.18840354589770603,0.13813071937678517
binary_ece,,0.06795000000000007,0.1042009044271604,-0.036250904427160335
