sample_id,true_label,source_true_label,vlm_predicted_label,external_predicted_label,vlm_correct,external_correct,vlm_confidence,external_confidence,vlm_frb_probability,external_frb_probability,external_n_candidates,external_aggregation,vlm_features,vlm_error,external_error,agreement
sample_000005,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000008,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000023,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000029,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000033,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000042,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":true,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":true}",,,False
sample_000043,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":true,""visible_structure"":false}",,,False
sample_000048,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000054,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000055,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":true,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":true}",,,False
