sample_id,true_label,source_true_label,y_true,score_vlm,score_external,vlm_predicted_label,external_predicted_label,external_n_candidates,external_aggregation
sample_000000,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000001,FRB,FRB,1,0.9,0.9999998807907104,FRB,FRB,2,max
sample_000002,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000003,FRB,FRB,1,0.75,1.0,FRB,FRB,2,max
sample_000004,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000005,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000006,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000007,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000008,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000009,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000010,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000011,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000012,FRB,FRB,1,0.9,1.0,FRB,FRB,2,max
sample_000013,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000014,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000015,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000016,FRB,FRB,1,0.85,0.9999997615814209,FRB,FRB,2,max
sample_000017,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000018,FRB,FRB,1,0.9,0.9999997615814209,FRB,FRB,2,max
sample_000019,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000020,FRB,FRB,1,0.85,0.9999996423721313,FRB,FRB,2,max
sample_000021,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000022,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000023,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000024,FRB,FRB,1,0.75,1.0,FRB,FRB,2,max
sample_000025,FRB,FRB,1,0.9,1.0,FRB,FRB,2,max
sample_000026,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000027,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000028,FRB,FRB,1,0.85,0.9999997615814209,FRB,FRB,2,max
sample_000029,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000030,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000031,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000032,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000033,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000034,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000035,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000036,FRB,FRB,1,0.75,1.0,FRB,FRB,2,max
sample_000037,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000038,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000039,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000040,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000041,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000042,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000043,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000044,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000045,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000046,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000047,FRB,FRB,1,0.9,0.9999997615814209,FRB,FRB,2,max
sample_000048,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000049,FRB,FRB,1,0.85,0.9999997615814209,FRB,FRB,2,max
sample_000050,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000051,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000052,FRB,FRB,1,0.85,0.9999996423721313,FRB,FRB,2,max
sample_000053,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000054,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000055,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000056,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000057,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000058,FRB,FRB,1,0.9,1.0,FRB,FRB,2,max
sample_000059,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000060,FRB,FRB,1,0.9,0.9999998807907104,FRB,FRB,2,max
sample_000061,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000062,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000063,FRB,FRB,1,0.85,0.9999996423721313,FRB,FRB,2,max
sample_000064,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000065,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000066,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000067,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000068,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000069,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000070,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000071,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000072,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000073,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,1,max
sample_000074,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000075,FRB,FRB,1,0.85,0.9999994039535522,FRB,FRB,2,max
sample_000076,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000077,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000078,FRB,FRB,1,0.85,0.9999994039535522,FRB,FRB,2,max
sample_000079,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000080,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000081,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000082,FRB,FRB,1,0.75,1.0,FRB,FRB,2,max
sample_000083,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000084,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000085,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000086,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000087,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000088,FRB,FRB,1,0.9,1.0,FRB,FRB,2,max
sample_000089,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000090,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000091,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000092,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000093,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000094,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000095,FRB,FRB,1,0.9,0.9999997615814209,FRB,FRB,2,max
sample_000096,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000097,FRB,FRB,1,0.9,1.0,FRB,FRB,2,max
sample_000098,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000099,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000100,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000101,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000102,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000103,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000104,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000105,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000106,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000107,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000108,FRB,FRB,1,0.75,1.0,FRB,FRB,2,max
sample_000109,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000110,FRB,FRB,1,0.88,0.9999997615814209,FRB,FRB,2,max
sample_000111,FRB,FRB,1,0.88,0.9999998807907104,FRB,FRB,2,max
sample_000112,FRB,FRB,1,0.9,0.9999996423721313,FRB,FRB,2,max
sample_000113,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000114,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000115,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000116,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000117,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000118,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000119,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000120,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000121,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000122,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000123,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
